gene_name	transcript	strand	tx_start	tx_end	tx_len	cds_start	cds_end	exon_count	exon_starts	exon_ends	exon_lengths
RIMBP3C	NM_001128633	+	21383373	21389166	5793	21383858	21388778	1	21383373	21389166	5793
RIMBP3B	NM_001128635	+	21383750	21389166	5416	21383858	21388778	1	21383750	21389166	5416
HIC2	NM_015094	+	21417370	21451461	34091	21442831	21446743	3	21417370,21442758,21444921	21417560,21442857,21451461	190,99,6540
TMEM191C	NM_001207052	+	21467169	21469935	2766	21467318	21469821	9	21467169,21467893,21468151,21468353,21468778,21468943,21469273,21469493,21469616	21467614,21468017,21468202,21468431,21468835,21469062,21469346,21469534,21469935	445,124,51,78,57,119,73,41,319
PI4KAP2	NR_003700	-	21472997	21517491	44494	21517491	21517491	17	21472997,21474596,21476001,21476643,21477789,21477996,21478584,21479758,21479929,21483019,21484004,21486799,21487564,21487871,21488223,21491993,21517324	21473405,21474680,21476160,21476764,21477915,21478101,21478694,21479829,21480002,21483090,21484134,21486927,21487672,21488023,21488381,21492094,21517491	408,84,159,121,126,105,110,71,73,71,130,128,108,152,158,101,167
UBE2L3	NM_001256355	+	21549446	21624034	74588	21549449	21621669	4	21549446,21592860,21610856,21621514	21549650,21592956,21611043,21624034	204,96,187,2520
YDJC	NM_001017964	-	21628089	21630022	1933	21628417	21630014	5	21628089,21629009,21629307,21629601,21629850	21628787,21629187,21629407,21629761,21630022	698,178,100,160,172
CCDC116	NM_152612	+	21632759	21637329	4570	21633181	21637070	5	21632759,21633119,21634021,21634684,21636431	21632827,21633253,21634570,21635266,21637329	68,134,549,582,898
SDF2L1	NM_022044	+	21642301	21644299	1998	21642336	21644175	3	21642301,21642861,21643893	21642523,21643058,21644299	222,197,406
LOC107985532	NR_169729	+	21652180	21662363	10183	21662363	21662363	7	21652180,21653341,21654012,21656988,21657780,21660836,21661904	21652331,21653466,21654167,21657149,21658686,21661021,21662363	151,125,155,161,906,185,459
MIR301B	NR_030622	+	21652980	21653058	78	21653058	21653058	1	21652980	21653058	78
MIR130B	NR_029845	+	21653303	21653385	82	21653385	21653385	1	21653303	21653385	82
PPIL2	NM_148175	+	21666011	21700015	34004	21666099	21695490	21	21666011,21669912,21670565,21670996,21672329,21675063,21681298,21682436,21683181,21684752,21686482,21686891,21687642,21688072,21688731,21693815,21694592,21694754,21694936,21695393,21696746	21666131,21669962,21670611,21671059,21672381,21675115,21681390,21682526,21683257,21684913,21686558,21686998,21687732,21688106,21688849,21693872,21694665,21694817,21695070,21695496,21700015	120,50,46,63,52,52,92,90,76,161,76,107,90,34,118,57,73,63,134,103,3269
YPEL1	NR_130910	-	21697536	21735794	38258	21735794	21735794	5	21697536,21703369,21703838,21710486,21735614	21701218,21703478,21704125,21710908,21735794	3682,109,287,422,180
MAPK1	NM_002745	-	21759657	21867645	107988	21769203	21867440	9	21759657,21769194,21772872,21788256,21788693,21799011,21805849,21807663,21867321	21764240,21769320,21772982,21788388,21788808,21799128,21806039,21807846,21867645	4583,126,110,132,115,117,190,183,324
PPM1F	NM_014634	-	21919424	21952848	33424	21923091	21946048	8	21919424,21925568,21931147,21933390,21934023,21939531,21945842,21952791	21923471,21925662,21931291,21933579,21934226,21939680,21946108,21952848	4047,94,144,189,203,149,266,57
PPM1F-AS1	NR_147620	+	21938236	21943433	5197	21943433	21943433	2	21938236,21941101	21939613,21943433	1377,2332
TOP3B	NM_001349852	-	21957024	21982787	25763	21958405	21970382	19	21957024,21959131,21959586,21960320,21962428,21962746,21963922,21964160,21965284,21967602,21968618,21970209,21970979,21971876,21972611,21974356,21975639,21982413,21982729	21958693,21959232,21959736,21960449,21962602,21962893,21964028,21964315,21965375,21967716,21968775,21970406,21971061,21971951,21972718,21974488,21975807,21982449,21982787	1669,101,150,129,174,147,106,155,91,114,157,197,82,75,107,132,168,36,58
PRAMENP	NR_135291	-	21991098	22043934	52836	22043934	22043934	7	21991098,21994143,21995132,22023293,22025172,22026221,22043681	21991754,21994773,21995432,22023430,22026129,22026327,22043934	656,630,300,137,957,106,253
VPREB1	NM_001303509	+	22244785	22245515	730	22244802	22245337	2	22244785,22244959	22244859,22245515	74,556
BMS1P20	NR_027293	+	22298097	22322968	24871	22322968	22322968	11	22298097,22303223,22303942,22306789,22307105,22308696,22309735,22310225,22318898,22321580,22322662	22298211,22303297,22304114,22306903,22307245,22308819,22309883,22310401,22319251,22321871,22322968	114,74,172,114,140,123,148,176,353,291,306
ZNF280B	NM_080764	-	22484425	22508742	24317	22487766	22489398	4	22484425,22494062,22507809,22508658	22489466,22494180,22507870,22508742	5041,118,61,84
ZNF280A	NM_080740	-	22513735	22520270	6535	22514001	22515630	2	22513735,22520088	22515701,22520270	1966,182
PRAME	NM_206953	-	22547695	22559361	11666	22548066	22556832	5	22547695,22549725,22550766,22556811,22559174	22548643,22550334,22551089,22557580,22559361	948,609,323,769,187
LL22NC03-63E9.3	NR_027426	+	22559342	22566599	7257	22566599	22566599	3	22559342,22562862,22563666	22559407,22562972,22566599	65,110,2933
POM121L1P	NR_024591	-	22631556	22644541	12985	22644541	22644541	10	22631556,22633472,22634224,22635045,22635479,22637208,22638022,22638168,22639121,22642691	22632580,22633716,22634387,22635174,22635680,22637315,22638085,22638175,22639328,22644541	1024,244,163,129,201,107,63,7,207,1850
GGTLC2	NM_001282879	+	22644619	22647898	3279	22646345	22647741	5	22644619,22646311,22646753,22646982,22647594	22644647,22646521,22646881,22647290,22647898	28,210,128,308,304
MIR650	NR_030755	+	22822775	22822871	96	22822871	22822871	1	22822775	22822871	96
MIR5571	NR_049835	+	22886266	22886379	113	22886379	22886379	1	22886266	22886379	113
IGLL5	NM_001178126	+	22887815	22896111	8296	22888053	22895694	3	22887815,22893699,22895374	22888259,22893818,22896111	444,119,737
RSPH14	NM_014433	-	23059414	23141990	82576	23059461	23140420	7	23059414,23061808,23063901,23134025,23138839,23140221,23141948	23059718,23061945,23064133,23134144,23138942,23140472,23141990	304,137,232,119,103,251,42
GNAZ	NM_002073	+	23070518	23125032	54514	23095695	23123431	3	23070518,23095246,23123086	23070570,23096418,23125032	52,1172,1946
RAB36	NM_001349878	+	23145323	23165643	20320	23145365	23161623	11	23145323,23146604,23150062,23152460,23153032,23155967,23157991,23158897,23159162,23160878,23161499	23145551,23146685,23150154,23152526,23153134,23156032,23158043,23158979,23159233,23160998,23165643	228,81,92,66,102,65,52,82,71,120,4144
BCR	NM_004327	+	23180508	23318037	137529	23180960	23315522	23	23180508,23253798,23260949,23261354,23268407,23271531,23273080,23273633,23283976,23285032,23287158,23288096,23289516,23290338,23292540,23295023,23309423,23310323,23311696,23312886,23313967,23314551,23315432	23182239,23253980,23261054,23261540,23268515,23271592,23273133,23273774,23284098,23285201,23287278,23288172,23289621,23290413,23292638,23295155,23309483,23310433,23311836,23313021,23314073,23314714,23318037	1731,182,105,186,108,61,53,141,122,169,120,76,105,75,98,132,60,110,140,135,106,163,2605
FBXW4P1	NR_033408	+	23262766	23264999	2233	23264999	23264999	1	23262766	23264999	2233
LINC02556	NR_149133	+	23326615	23328493	1878	23328493	23328493	2	23326615,23328323	23326791,23328493	176,170
CES5AP1	NR_037839	-	23359605	23382126	22521	23382126	23382126	7	23359605,23363103,23366277,23370357,23373629,23376880,23381962	23359753,23363172,23366418,23370462,23373748,23377014,23382126	148,69,141,105,119,134,164
ZDHHC8P1	NR_003950	-	23390604	23402612	12008	23402612	23402612	6	23390604,23392726,23393925,23399759,23401840,23402360	23391724,23392833,23394057,23400583,23401953,23402612	1120,107,132,824,113,252
LINC01659	NR_110538	+	23433563	23435071	1508	23435071	23435071	3	23433563,23434559,23434823	23434061,23434730,23435071	498,171,248
FAM230I	NR_110539	-	23462085	23486980	24895	23486980	23486980	12	23462085,23467274,23469336,23469995,23470314,23470807,23473377,23473876,23480416,23482574,23483067,23486878	23462678,23467316,23469487,23470037,23470336,23471163,23473411,23473938,23480500,23482605,23483126,23486980	593,42,151,42,22,356,34,62,84,31,59,102
PCAT14	NR_109832	+	23538101	23547306	9205	23547306	23547306	4	23538101,23538760,23544227,23546485	23538324,23538838,23544306,23547306	223,78,79,821
IGLL1	NM_001369906	-	23573125	23580290	7165	23573265	23580190	3	23573125,23574966,23579984	23573585,23575085,23580290	460,119,306
DRICH1	NM_016449	-	23608451	23632321	23870	23608763	23632023	12	23608451,23613288,23613638,23614134,23616852,23617574,23619363,23620593,23622090,23624882,23625980,23631815	23608768,23613330,23613660,23614214,23616874,23617657,23619393,23620615,23622176,23624904,23626048,23632321	317,42,22,80,22,83,30,22,86,22,68,506
GUSBP11	NR_024448	-	23638487	23717423	78936	23717423	23717423	12	23638487,23659864,23683724,23690235,23694118,23700725,23705428,23709129,23709785,23714186,23715008,23717030	23638942,23660000,23683867,23690356,23695517,23700845,23705541,23709241,23709867,23714342,23715194,23717423	455,136,143,121,1399,120,113,112,82,156,186,393
RGL4	NM_001329424	+	23690860	23699176	8316	23692030	23699113	12	23690860,23692334,23692668,23693758,23694346,23694949,23696613,23697170,23697837,23698211,23698554,23698843	23692209,23692528,23692991,23693974,23694450,23695019,23696688,23697245,23697861,23698333,23698645,23699176	1349,194,323,216,104,70,75,75,24,122,91,333
ZNF70	NM_021916	-	23738681	23751112	12431	23743799	23745140	2	23738681,23750710	23745219,23751112	6538,402
VPREB3	NM_013378	-	23752742	23754425	1683	23752875	23754363	2	23752742,23754314	23753198,23754425	456,111
C22orf15	NM_001376905	+	23762989	23765863	2874	23763306	23765732	5	23762989,23764086,23764259,23764638,23765720	23763331,23764173,23764402,23764713,23765863	342,87,143,75,143
CHCHD10	NM_001301339	-	23765833	23767972	2139	23766006	23767874	4	23765833,23766127,23767373,23767833	23766026,23766296,23767593,23767972	193,169,220,139
MMP11	NM_005940	+	23772848	23784316	11468	23772870	23783544	8	23772848,23779186,23780358,23780581,23780858,23781192,23782225,23783410	23772978,23779416,23780502,23780715,23781100,23781409,23782483,23784316	130,230,144,134,242,217,258,906
SMARCB1	NM_001317946	+	23786965	23838009	51044	23787169	23834180	9	23786965,23791755,23793558,23800943,23803294,23816769,23825224,23833571,23834140	23787262,23791867,23793688,23801135,23803422,23816936,23825415,23833703,23838009	297,112,130,192,128,167,191,132,3869
GSTTP2	NR_003082	-	23804575	24005453	200878	24005453	24005453	5	23804575,23998579,24000074,24003759,24004180	23804657,23998739,24000251,24003847,24005453	82,160,177,88,1273
DERL3	NM_001135751	-	23834502	23839006	4504	23834826	23838987	7	23834502,23837063,23837658,23838351,23838563,23838710,23838894	23834932,23837154,23837854,23838445,23838637,23838776,23839006	430,91,196,94,74,66,112
SLC2A11	NM_030807	+	23856933	23886312	29379	23857489	23884849	13	23856933,23857420,23862103,23868480,23875116,23877041,23877720,23882458,23882758,23883771,23883948,23884301,23884648	23856991,23857531,23862202,23868641,23875241,23877171,23877869,23882646,23882869,23883873,23884024,23884429,23886312	58,111,99,161,125,130,149,188,111,102,76,128,1664
MIF-AS1	NR_038911	-	23893709	23898930	5221	23898930	23898930	3	23893709,23895828,23898843	23895532,23896110,23898930	1823,282,87
MIF	NM_002415	+	23894382	23895223	841	23894474	23895106	3	23894382,23894771,23895039	23894582,23894944,23895223	200,173,184
DDTL	NM_001084393	+	23966887	23972556	5669	23966914	23971406	3	23966887,23967385,23971285	23967022,23967561,23972556	135,176,1271
DDT	NM_001355	-	23971370	23979828	8458	23971550	23974414	4	23971370,23973767,23974306,23979725	23971623,23973943,23974439,23979828	253,176,133,103
GSTT2	NR_126442	+	23980027	23983915	3888	23983915	23983915	6	23980027,23980534,23980947,23982697,23982872,23983396	23980309,23980638,23981035,23982780,23983002,23983915	282,104,88,83,130,519
GSTT2B	NM_001363804	+	23980122	23983915	3793	23980197	23983606	5	23980122,23980947,23982627,23982872,23983396	23980309,23981035,23982780,23983002,23983915	187,88,153,130,519
GSTT4	NM_001358664	-	23998400	24005453	7053	23998541	24005356	5	23998400,24000074,24001174,24003759,24005244	23998739,24000251,24001325,24003847,24005453	339,177,151,88,209
CABIN1	NM_012295	+	24011303	24178628	167325	24035517	24178196	37	24011303,24035443,24036088,24038347,24041138,24042903,24049090,24050824,24054872,24056191,24059226,24059923,24061946,24062958,24064034,24066986,24070799,24072353,24076168,24083227,24084578,24085005,24087451,24091582,24095930,24098013,24113565,24119366,24134301,24164399,24165529,24166638,24168446,24171712,24176110,24177503,24178052	24011367,24035520,24036181,24038461,24041273,24043084,24049220,24050974,24055159,24056360,24059363,24060141,24062025,24063146,24064187,24067181,24071042,24072510,24076284,24083389,24084785,24085151,24087713,24091843,24096082,24098192,24113748,24119698,24134415,24164563,24165626,24167313,24168521,24171995,24176275,24177817,24178628	64,77,93,114,135,181,130,150,287,169,137,218,79,188,153,195,243,157,116,162,207,146,262,261,152,179,183,332,114,164,97,675,75,283,165,314,576
SUSD2	NM_019601	+	24181486	24189106	7620	24181519	24188436	15	24181486,24183056,24183494,24184135,24184765,24185093,24185485,24185660,24186015,24186256,24187201,24187570,24187958,24188224,24188411	24181595,24183267,24183646,24184303,24184940,24185295,24185571,24185929,24186159,24186415,24187450,24187843,24188135,24188327,24189106	109,211,152,168,175,202,86,269,144,159,249,273,177,103,695
GGT5	NM_001099782	-	24219653	24245142	25489	24219969	24244725	11	24219653,24224995,24225244,24225545,24226075,24226630,24231383,24232050,24232822,24233873,24244552	24220116,24225106,24225411,24225652,24226266,24226767,24231530,24232208,24233018,24234004,24245142	463,111,167,107,191,137,147,158,196,131,590
POM121L9P	NR_003714	+	24251620	24265524	13904	24265524	24265524	7	24251620,24256752,24257996,24258766,24260907,24261692,24263499	24253398,24256959,24258059,24258873,24261036,24262607,24265524	1778,207,63,107,129,915,2025
SPECC1L-ADORA2A	NR_103546	+	24270816	24442360	171544	24442360	24442360	20	24270816,24276699,24302194,24313312,24321287,24324219,24328845,24330255,24334409,24338385,24343481,24347085,24363260,24365475,24369217,24411587,24412647,24414533,24433130,24440582	24270983,24276803,24302384,24313466,24322918,24324427,24328919,24330431,24334573,24338477,24343603,24347176,24363344,24365632,24369320,24411704,24412707,24414744,24433736,24442360	167,104,190,154,1631,208,74,176,164,92,122,91,84,157,103,117,60,211,606,1778
SPECC1L	NM_015330	+	24270830	24417738	146908	24302231	24414623	17	24270830,24276699,24302194,24313312,24321287,24324219,24328845,24330255,24334409,24338385,24347085,24363260,24365475,24369217,24411587,24412647,24414533	24270983,24276803,24302384,24313466,24322918,24324427,24328919,24330431,24334573,24338477,24347176,24363344,24365632,24369320,24411704,24412707,24417738	153,104,190,154,1631,208,74,176,164,92,91,84,157,103,117,60,3205
ADORA2A	NM_001278500	+	24423596	24442361	18765	24433404	24441489	3	24423596,24433130,24440582	24423628,24433736,24442361	32,606,1779
ADORA2A-AS1	NR_028484	-	24429205	24495074	65869	24495074	24495074	7	24429205,24430896,24432261,24441991,24471767,24474982,24494689	24430364,24431562,24432434,24442140,24471895,24475153,24495074	1159,666,173,149,128,171,385
UPB1	NM_016327	+	24495331	24528390	33059	24495403	24525794	10	24495331,24500106,24502125,24510748,24513323,24515200,24520386,24521985,24523618,24525710	24495507,24500278,24502213,24510843,24513485,24515370,24520468,24522028,24523773,24528390	176,172,88,95,162,170,82,43,155,2680
GUCD1	NM_001284251	-	24540422	24555935	15513	24543005	24555825	6	24540422,24543841,24546913,24547907,24548916,24555614	24543100,24544083,24547005,24548073,24549001,24555935	2678,242,92,166,85,321
SNRPD3	NR_103819	+	24555649	24574964	19315	24574964	24574964	3	24555649,24557656,24571915	24556071,24557800,24574964	422,144,3049
GGT1	NM_013430	+	24583749	24629005	45256	24611081	24628839	16	24583749,24607953,24609964,24610249,24611074,24614775,24615040,24620327,24620912,24623106,24623779,24627431,24627851,24628080,24628274,24628692	24583808,24608023,24610033,24610531,24611245,24614906,24615127,24620520,24621070,24623256,24623916,24627619,24627979,24628193,24628388,24629005	59,70,69,282,171,131,87,193,158,150,137,188,128,113,114,313
LRRC75B	NM_207644	-	24585634	24593073	7439	24585885	24593039	4	24585634,24588213,24589820,24592862	24586411,24588329,24589949,24593073	777,116,129,211
BCRP3	NR_024494	+	24632914	24653360	20446	24653360	24653360	7	24632914,24644739,24645635,24647002,24648197,24649859,24653005	24633443,24644799,24645745,24647075,24648332,24650022,24653360	529,60,110,73,135,163,355
POM121L10P	NR_024593	-	24645165	24659147	13982	24659147	24659147	6	24645165,24648153,24649724,24650158,24651887,24653050	24647261,24649068,24649853,24650361,24651994,24659147	2096,915,129,203,107,6097
PIWIL3	NM_001255975	-	24719033	24774720	55687	24719471	24762499	21	24719033,24719747,24723129,24724886,24725444,24727949,24728176,24734083,24735707,24748906,24749403,24749692,24751386,24754013,24754783,24755783,24756490,24757907,24759868,24762397,24774321	24719588,24719895,24723255,24725037,24725515,24728053,24728374,24734156,24735892,24749021,24749521,24749819,24751498,24754217,24754864,24755905,24756705,24758039,24759989,24762521,24774720	555,148,126,151,71,104,198,73,185,115,118,127,112,204,81,122,215,132,121,124,399
TOP1P2	NR_001283	+	24764500	24766019	1519	24766019	24766019	1	24764500	24766019	1519
SGSM1	NM_001098497	+	24806210	24927578	121368	24806325	24924274	25	24806210,24806440,24844896,24847633,24850279,24854995,24855284,24855548,24859715,24867092,24868375,24868722,24876576,24879461,24884052,24886599,24893430,24895222,24897971,24901832,24905104,24912642,24917657,24919825,24924185	24806344,24806484,24844972,24847796,24850432,24855063,24855430,24855680,24859840,24867160,24868539,24868855,24876715,24879526,24884198,24886728,24893613,24895291,24898559,24901957,24905187,24912752,24917754,24919993,24927578	134,44,76,163,153,68,146,132,125,68,164,133,139,65,146,129,183,69,588,125,83,110,97,168,3393
TMEM211	NM_001001663	-	24934953	24946695	11742	24935332	24938275	4	24934953,24938148,24939334,24946571	24935595,24938287,24939451,24946695	642,139,117,124
KIAA1671	NM_001145206	+	25027973	25197448	169475	25027999	25190780	11	25027973,25032608,25038759,25049229,25170819,25174239,25177347,25181698,25184976,25190701,25192405	25029540,25032696,25041525,25049364,25170938,25174489,25177522,25181823,25185119,25190784,25197448	1567,88,2766,135,119,250,175,125,143,83,5043
KIAA1671-AS1	NR_038941	-	25102416	25112692	10276	25112692	25112692	5	25102416,25110000,25110957,25112186,25112616	25102918,25110118,25110997,25112423,25112692	502,118,40,237,76
CRYBB3	NM_004076	+	25199857	25207359	7502	25201396	25207212	6	25199857,25201376,25202673,25203762,25205219,25207046	25199909,25201471,25202792,25203895,25205362,25207359	52,95,119,133,143,313
CRYBB2	NM_000496	+	25219638	25231869	12231	25221429	25231772	6	25219638,25221403,25224917,25227852,25229435,25231603	25219666,25221483,25225036,25227985,25229578,25231869	28,80,119,133,143,266
IGLL3P	NR_029395	+	25318256	25320226	1970	25320226	25320226	3	25318256,25319041,25319766	25318375,25319137,25320226	119,96,460
LRP5L	NM_001135772	-	25351417	25405408	53991	25351798	25360092	7	25351417,25354595,25357254,25359826,25375812,25381380,25405201	25351902,25354812,25357426,25360223,25376008,25381578,25405408	485,217,172,397,196,198,207
CRYBB2P1	NR_033734	+	25448086	25461678	13592	25461678	25461678	5	25448086,25455711,25457258,25459415,25460866	25448284,25455840,25457401,25459515,25461678	198,129,143,100,812
MIR6817	NR_106875	+	25455645	25455711	66	25455711	25455711	1	25455645	25455711	66
GRK3	NM_005160	+	25564674	25729294	164620	25565040	25722450	21	25564674,25604376,25644591,25661575,25663629,25667738,25672295,25674436,25678815,25685169,25687536,25690188,25695106,25703509,25704108,25709897,25711067,25714407,25718244,25721283,25722288	25565153,25604453,25644665,25661677,25663704,25667800,25672347,25674528,25678915,25685248,25687667,25690283,25695214,25703576,25704209,25709964,25711163,25714570,25718381,25721397,25729294	479,77,74,102,75,62,52,92,100,79,131,95,108,67,101,67,96,163,137,114,7006
MYO18B	NM_032608	+	25742187	26031045	288858	25761092	26027678	44	25742187,25760983,25763230,25768114,25770109,25770871,25772333,25777582,25780055,25781733,25785427,25797952,25823504,25826408,25828775,25832916,25835295,25843734,25846099,25847429,25851469,25868319,25874285,25876188,25877958,25890755,25891303,25895155,25898306,25902612,25903630,25908321,25910945,25921256,25946136,25947711,25950366,25952285,25955178,25992362,26003264,26004717,26026444,26030442	25742293,25761131,25763389,25769428,25770176,25770984,25772510,25777781,25780198,25781834,25785491,25798097,25823678,25826499,25828968,25832997,25835443,25843894,25846283,25847652,25851579,25868385,25874414,25876332,25878048,25890875,25891412,25895280,25898461,25902736,25903831,25908432,25911050,25921409,25946250,25947828,25950450,25952423,25955364,25992493,26003309,26004855,26027690,26031045	106,148,159,1314,67,113,177,199,143,101,64,145,174,91,193,81,148,160,184,223,110,66,129,144,90,120,109,125,155,124,201,111,105,153,114,117,84,138,186,131,45,138,1246,603
SEZ6L	NM_001184776	+	26169461	26383596	214135	26169669	26380295	15	26169461,26292405,26294291,26296887,26298983,26305978,26310669,26311767,26313763,26340435,26347718,26365371,26375574,26377672,26380265	26169763,26293146,26294425,26297080,26299169,26306144,26310836,26311962,26313902,26340632,26347913,26365566,26375689,26377775,26383596	302,741,134,193,186,166,167,195,139,197,195,195,115,103,3331
ASPHD2	NM_020437	+	26429259	26445015	15756	26433615	26443206	4	26429259,26433391,26442458,26443096	26429486,26434501,26442572,26445015	227,1110,114,1919
HPS4	NM_001349905	-	26443108	26483863	40755	26444681	26481762	14	26443108,26457858,26458444,26463916,26465454,26466225,26468550,26470718,26472301,26472831,26476992,26479264,26481721,26483764	26444694,26457967,26458577,26464826,26465551,26466262,26468623,26470813,26472418,26472939,26477136,26479355,26482240,26483863	1586,109,133,910,97,37,73,95,117,108,144,91,519,99
SRRD	NM_001013694	+	26483876	26494658	10782	26483890	26491672	7	26483876,26486022,26488028,26488389,26490043,26491024,26491462	26484099,26486063,26488288,26488488,26490198,26491070,26494658	223,41,260,99,155,46,3196
TFIP11	NM_001346857	-	26491239	26512506	21267	26492012	26510272	16	26491239,26494138,26494796,26496072,26496720,26498868,26499103,26501899,26503665,26506302,26506774,26510063,26510616,26511118,26512098,26512393	26492368,26494304,26494939,26496316,26496889,26498975,26499631,26502052,26503793,26506459,26506928,26510281,26510702,26511153,26512175,26512506	1129,166,143,244,169,107,528,153,128,157,154,218,86,35,77,113
LOC100507599	NR_144529	+	26512531	26514567	2036	26514567	26514567	2	26512531,26513411	26513034,26514567	503,1156
TPST2	NM_001362923	-	26521995	26590132	68137	26528220	26547501	8	26521995,26528213,26532694,26536287,26540788,26544603,26547499,26590052	26526267,26528262,26532745,26536486,26541718,26544675,26547618,26590132	4272,49,51,199,930,72,119,80
MIR548J	NR_031615	-	26555211	26555323	112	26555323	26555323	1	26555211	26555323	112
CRYBB1	NM_001887	-	26599277	26618027	18750	26599489	26616319	6	26599277,26601878,26607888,26612071,26616139,26617976	26599673,26602021,26608021,26612190,26616338,26618027	396,143,133,119,199,51
CRYBA4	NM_001886	+	26621962	26630669	8707	26622596	26630487	6	26621962,26622584,26623233,26625480,26628287,26630339	26621986,26622635,26623352,26625622,26628430,26630669	24,51,119,142,143,330
MIAT	NR_003491	+	26657481	26676477	18996	26676477	26676477	5	26657481,26663315,26665456,26667184,26668157	26657654,26663398,26666937,26667310,26676477	173,83,1481,126,8320
MIATNB	NR_110543	+	26672842	26780893	108051	26780893	26780893	6	26672842,26717252,26774155,26776826,26778455,26779883	26672987,26717459,26774217,26776954,26778585,26780893	145,207,62,128,130,1010
LOC110091768	NR_146604	+	26860210	26881785	21575	26881785	26881785	6	26860210,26860905,26861981,26877328,26879952,26880773	26860763,26861022,26862105,26877413,26880070,26881785	553,117,124,85,118,1012
LINC01422	NR_110540	+	26903291	26920610	17319	26920610	26920610	3	26903291,26906577,26920376	26903431,26906767,26920610	140,190,234
LOC284898	NR_164796	-	27048143	27061238	13095	27061238	27061238	4	27048143,27049958,27060108,27060987	27048480,27050116,27060574,27061238	337,158,466,251
LOC105372977	NM_001318392	+	27187515	27189215	1700	27188501	27189148	3	27187515,27188483,27188863	27187597,27188534,27189215	82,51,352
LINC01638	NM_001350812	-	27221349	27224679	3330	27221442	27224571	3	27221349,27224229,27224522	27221701,27224308,27224679	352,79,157
LINC02554	NR_134581	+	27310650	27317840	7190	27317840	27317840	2	27310650,27316803	27315049,27317840	4399,1037
MN1	NM_002430	-	27748276	27801756	53480	27750914	27800543	2	27748276,27796762	27751096,27801756	2820,4994
PITPNB	NM_001284277	-	27851668	27919306	67638	27853612	27919191	11	27851668,27858386,27860130,27873737,27894554,27896551,27897129,27897800,27910963,27914316,27919171	27853663,27858509,27860241,27873815,27894638,27896626,27897137,27897892,27911109,27914347,27919306	1995,123,111,78,84,75,8,92,146,31,135
TTC28-AS1	NR_026963	+	27919375	28002681	83306	28002681	28002681	5	27919375,27935150,27994472,27997410,27999429	27919545,27935230,27994653,27998838,28002681	170,80,181,1428,3252
MIR3199-1	NR_036169	-	27920524	27920612	88	27920612	27920612	1	27920524	27920612	88
MIR3199-2	NR_036170	+	27920525	27920611	86	27920611	27920611	1	27920525	27920611	86
TTC28	NM_001145418	-	27978013	28679865	701852	27982220	28679723	23	27978013,27985248,27989877,27990788,27992586,27993286,27996134,27998539,28001373,28014247,28030225,28094079,28096189,28098914,28101170,28105278,28107061,28163091,28296197,28297579,28306495,28629551,28679621	27983851,27985356,27990007,27990812,27992663,27993518,27996259,27999260,28001553,28014392,28030366,28094245,28096408,28099044,28101280,28105802,28108403,28163599,28296328,28297852,28306643,28629830,28679865	5838,108,130,24,77,232,125,721,180,145,141,166,219,130,110,524,1342,508,131,273,148,279,244
MIR5739	NR_106713	+	28459868	28459948	80	28459948	28459948	1	28459868	28459948	80
CHEK2	NM_145862	-	28687742	28741834	54092	28687896	28734721	14	28687742,28689134,28694031,28695126,28695709,28699837,28703504,28710005,28711908,28719394,28724976,28725242,28734402,28741768	28687986,28689215,28694117,28695242,28695873,28699937,28703566,28710059,28712017,28719485,28725124,28725367,28734727,28741834	244,81,86,116,164,100,62,54,109,91,148,125,325,66
HSCB	NM_001318315	+	28742038	28757508	15470	28742095	28751244	5	28742038,28743881,28744614,28751240,28757077	28742331,28743978,28744709,28751288,28757508	293,97,95,48,431
CCDC117	NM_001284263	+	28772673	28789301	16628	28772849	28786326	4	28772673,28780947,28783507,28786088	28773034,28781172,28783645,28789301	361,225,138,3213
XBP1	NM_001079539	-	28794559	28800572	6013	28795174	28800524	6	28794559,28796046,28796149,28797076,28799056,28800297	28795732,28796123,28796192,28797205,28799153,28800572	1173,77,43,129,97,275
ZNRF3	NM_001206998	+	28883571	29057488	173917	28883766	29053622	9	28883571,28987075,29042494,29043298,29044779,29046715,29048388,29049196,29053578	28884066,28987201,29042569,29043430,29044890,29046883,29048491,29050948,29057488	495,126,75,132,111,168,103,1752,3910
ZNRF3-AS1	NR_046851	-	29024998	29031476	6478	29031476	29031476	3	29024998,29031083,29031390	29027009,29031156,29031476	2011,73,86
C22orf31	NM_015370	-	29058671	29061919	3248	29058741	29061792	3	29058671,29060414,29061789	29059182,29060843,29061919	511,429,130
KREMEN1	NM_032045	+	29073034	29168333	95299	29073130	29167106	10	29073034,29094257,29098861,29121356,29125262,29137341,29138623,29140281,29141943,29167043	29073227,29094420,29098953,29121481,29125416,29137674,29138833,29140366,29142100,29168333	193,163,92,125,154,333,210,85,157,1290
EMID1	NM_001267895	+	29205895	29259597	53702	29206038	29258944	15	29205895,29214925,29215526,29225138,29226489,29231019,29231592,29232255,29233378,29233613,29234136,29234304,29243444,29254202,29258816	29206139,29215039,29215630,29225216,29226551,29231140,29231682,29232402,29233468,29233666,29234199,29234349,29243489,29254287,29259597	244,114,104,78,62,121,90,147,90,53,63,45,45,85,781
RHBDD3	NM_001329536	-	29259851	29268163	8312	29260059	29265626	7	29259851,29260325,29260701,29263834,29265478,29267425,29268088	29260237,29260613,29260864,29264218,29265668,29267577,29268163	386,288,163,384,190,152,75
